! d1b Date 17-Nov-11 Time 14:07:33 Run 130589 > 130592
! orf   brah  La2CoMnO6_300K  
!
! Created: Thu Nov 17 15:41:15 2011
! fullprof : INSTR=10
! Wave lenght 
! 2.520
! Monitor/counts   Counting time/sec 
!        5387923.   3600000.0
! Temperature: Sample, Regulation, Requested 
!            298.931     300.008     300.000
!  angle  counts   sigma (F9.3,F15.3,F9.2)
   87.490      10298.000       101.4791
   87.590      10548.000       102.7035
   87.690      10483.000       102.3865
   87.790      10233.000       101.1583
   87.890      10233.000       101.1583
   87.990      10304.000       101.5086
   88.090      10218.000       101.0841
   88.190      10458.000       102.2644
   88.290      10351.000       101.7399
   88.390      10482.000       102.3816
   88.490      10639.000       103.1455
   88.590      10578.000       102.8494
   88.690      10776.000       103.8075
   88.790      11328.000       106.4331
   88.890      11490.000       107.1914
   88.990      11969.000       109.4029
   89.090      12332.000       111.0495
   89.190      12877.000       113.4769
   89.290      13342.000       115.5076
   89.390      13878.000       117.8049
   89.490      14576.000       120.7311
   89.590      14636.000       120.9793
   89.690      15058.000       122.7110
   89.790      15388.000       124.0484
   89.890      15463.000       124.3503
   89.990      15321.000       123.7780
   90.090      15399.000       124.0927
   90.190      14873.000       121.9549
   90.290      14663.000       121.0909
   90.390      14068.000       118.6086
   90.490      13610.000       116.6619
   90.590      13108.000       114.4902
   90.690      12736.000       112.8539
   90.790      12244.000       110.6526
   90.890      11634.000       107.8610
   90.990      11272.000       106.1697
   91.090      11079.000       105.2568
   91.190      10893.000       104.3695
   91.290      10634.000       103.1213
   91.390      10536.000       102.6450
   91.490      10444.000       102.1959
   91.590      10645.000       103.1746
   91.690      10639.000       103.1455
   91.790      10809.000       103.9663
   91.890      10997.000       104.8666
   91.990      11168.000       105.6788
   92.090      11537.000       107.4104
   92.190      11773.000       108.5035
   92.290      12052.000       109.7816
   92.390      12510.000       111.8481
   92.490      12778.000       113.0398
   92.590      12880.000       113.4901
   92.690      12939.000       113.7497
   92.790      13214.000       114.9522
   92.890      13065.000       114.3022
   92.990      13190.000       114.8477
   93.090      13403.000       115.7713
   93.190      13316.000       115.3950
   93.290      13083.000       114.3809
   93.390      12670.000       112.5611
   93.490      12624.000       112.3566
   93.590      12089.000       109.9500
   93.690      11821.000       108.7244
   93.790      11665.000       108.0046
   93.890      11360.000       106.5833
   93.990      11013.000       104.9428
   94.090      10705.000       103.4650
   94.190      10714.000       103.5085
   94.290      10515.000       102.5427
   94.390      10498.000       102.4597
   94.490      10256.000       101.2719
   94.590      10291.000       101.4446
   94.690      10252.000       101.2522
   94.790      10407.000       102.0147
   94.890      10392.000       101.9412
   94.990      10570.000       102.8105
   95.090      10567.000       102.7959
   95.190      10582.000       102.8689
   95.290      10628.000       103.0922
   95.390      10812.000       103.9808
   95.490      10811.000       103.9760
   95.590      10934.000       104.5658
   95.690      11060.000       105.1665
   95.790      11228.000       105.9623
   95.890      11427.000       106.8971
   95.990      11201.000       105.8348
   96.090      11502.000       107.2474
   96.190      11620.000       107.7961
   96.290      11545.000       107.4477
   96.390      11428.000       106.9018
   96.490      11370.000       106.6302
   96.590      11457.000       107.0374
   96.690      11250.000       106.0660
   96.790      10850.000       104.1633
   96.890      10759.000       103.7256
   96.990      10927.000       104.5323
   97.090      10717.000       103.5229
   97.190      10638.000       103.1407
   97.290      10497.000       102.4549
   97.390      10358.000       101.7743
   97.490       9986.000        99.9300
   97.590      10120.000       100.5982
   97.690      10165.000       100.8216
   97.790       9912.000        99.5590
   97.890      10082.000       100.4092
   97.990       9964.000        99.8198
   98.090      10066.000       100.3295
   98.190      10034.000       100.1699
   98.290      10008.000       100.0400
   98.390       9952.000        99.7597
   98.490       9918.000        99.5892
   98.590       9810.000        99.0454
   98.690      10009.000       100.0450
   98.790       9862.000        99.3076
   98.890       9972.000        99.8599
   98.990       9885.000        99.4233
   99.090       9922.000        99.6092
   99.190      10023.000       100.1149
   99.290       9909.000        99.5440
   99.390      10182.000       100.9059
   99.490       9863.000        99.3126
   99.590      10002.000       100.0100
   99.690      10114.000       100.5684
   99.790      10070.000       100.3494
   99.890       9996.000        99.9800
   99.990      10184.000       100.9158
  100.090      10029.000       100.1449
  100.190      10132.000       100.6578
  100.290       9967.000        99.8349
  100.390       9943.000        99.7146
  100.490      10045.000       100.2247
  100.590      10055.000       100.2746
  100.690       9986.000        99.9300
  100.790      10065.000       100.3245
  100.890       9929.000        99.6444
  100.990       9998.000        99.9900
  101.090       9990.000        99.9500
  101.190      10095.000       100.4739
  101.290       9882.000        99.4082
  101.390       9986.000        99.9300
  101.490       9951.000        99.7547
  101.590      10005.000       100.0250
  101.690      10027.000       100.1349
  101.790      10167.000       100.8315
  101.890      10127.000       100.6330
  101.990      10118.000       100.5883
  102.090      10015.000       100.0750
  102.190       9897.000        99.4837
  102.290       9934.000        99.6695
  102.390       9962.000        99.8098
  102.490      10023.000       100.1149
  102.590       9869.000        99.3428
  102.690       9881.000        99.4032
  102.790      10079.000       100.3942
  102.890       9962.000        99.8098
  102.990       9957.000        99.7848
  103.090       9973.000        99.8649
  103.190       9905.000        99.5239
  103.290      10110.000       100.5485
  103.390      10201.000       101.0000
  103.490      10500.000       102.4695
  103.590      10304.000       101.5086
  103.690      10681.000       103.3489
  103.790      10858.000       104.2017
  103.890      10912.000       104.4605
  103.990      10797.000       103.9086
  104.090      11175.000       105.7119
  104.190      11451.000       107.0093
  104.290      11586.000       107.6383
  104.390      12037.000       109.7133
  104.490      12265.000       110.7475
  104.590      12597.000       112.2364
  104.690      13133.000       114.5993
  104.790      13336.000       115.4816
  104.890      13291.000       115.2866
  104.990      13606.000       116.6448
  105.090      13819.000       117.5542
  105.190      13955.000       118.1313
  105.290      13873.000       117.7837
  105.390      13895.000       117.8771
  105.490      13508.000       116.2239
  105.590      13367.000       115.6157
  105.690      13113.000       114.5120
  105.790      13257.000       115.1390
  105.890      12819.000       113.2210
  105.990      12330.000       111.0405
  106.090      12028.000       109.6722
  106.190      11666.000       108.0093
  106.290      11336.000       106.4706
  106.390      11292.000       106.2638
  106.490      11001.000       104.8857
  106.590      10967.000       104.7234
  106.690      10713.000       103.5036
  106.790      10583.000       102.8737
  106.890      10319.000       101.5825
  106.990      10264.000       101.3114
  107.090      10098.000       100.4888
  107.190      10364.000       101.8037
  107.290       9962.000        99.8098
  107.390       9905.000        99.5239
  107.490      10104.000       100.5187
  107.590      10071.000       100.3544
  107.690      10038.000       100.1898
  107.790      10098.000       100.4888
  107.890      10039.000       100.1948
  107.990      10029.000       100.1449
  108.090      10170.000       100.8464
  108.190       9994.000        99.9700
  108.290      10207.000       101.0297
  108.390      10154.000       100.7671
  108.490       9955.000        99.7747
  108.590      10078.000       100.3892
  108.690      10178.000       100.8861
  108.790      10017.000       100.0850
  108.890      10349.000       101.7300
  108.990      10105.000       100.5236
  109.090      10150.000       100.7472
  109.190       9966.000        99.8299
  109.290       9993.000        99.9650
  109.390      10017.000       100.0850
  109.490      10069.000       100.3444
  109.590      10179.000       100.8910
  109.690      10083.000       100.4141
  109.790       9977.000        99.8849
  109.890      10049.000       100.2447
  109.990      10088.000       100.4390
  110.090      10015.000       100.0750
  110.190      10070.000       100.3494
  110.290      10130.000       100.6479
  110.390      10222.000       101.1039
  110.490      10296.000       101.4692
  110.590      10434.000       102.1469
  110.690      10251.000       101.2472
  110.790      10338.000       101.6760
  110.890      10413.000       102.0441
  110.990      10741.000       103.6388
  111.090      10662.000       103.2570
  111.190      10623.000       103.0679
  111.290      10619.000       103.0485
  111.390      10898.000       104.3935
  111.490      11015.000       104.9524
  111.590      11056.000       105.1475
  111.690      11043.000       105.0857
  111.790      11133.000       105.5130
  111.890      11058.000       105.1570
  111.990      10902.000       104.4126
  112.090      10849.000       104.1585
  112.190      10835.000       104.0913
  112.290      10827.000       104.0529
  112.390      10694.000       103.4118
  112.490      10829.000       104.0625
  112.590      10694.000       103.4118
  112.690      10652.000       103.2085
  112.790      10496.000       102.4500
  112.890      10557.000       102.7473
  112.990      10754.000       103.7015
  113.090      10812.000       103.9808
  113.190      10487.000       102.4061
  113.290      10673.000       103.3102
  113.390      10760.000       103.7304
  113.490      10690.000       103.3925
  113.590      10715.000       103.5133
  113.690      10678.000       103.3344
  113.790      11028.000       105.0143
  113.890      10931.000       104.5514
  113.990      11094.000       105.3281
  114.090      11007.000       104.9143
  114.190      11416.000       106.8457
  114.290      11724.000       108.2774
  114.390      11777.000       108.5219
  114.490      11781.000       108.5403
  114.590      12057.000       109.8044
  114.690      12099.000       109.9955
  114.790      12197.000       110.4400
  114.890      12426.000       111.4720
  114.990      12527.000       111.9241
  115.090      12611.000       112.2987
  115.190      12612.000       112.3032
  115.290      12673.000       112.5744
  115.390      12769.000       113.0000
  115.490      12470.000       111.6692
  115.590      12394.000       111.3283
  115.690      12244.000       110.6526
  115.790      12045.000       109.7497
  115.890      11765.000       108.4666
  115.990      11870.000       108.9495
  116.090      11429.000       106.9065
  116.190      11048.000       105.1095
  116.290      11012.000       104.9381
  116.390      10910.000       104.4509
  116.490      11019.000       104.9714
  116.590      10597.000       102.9417
  116.690      10550.000       102.7132
  116.790      10382.000       101.8921
  116.890      10291.000       101.4446
  116.990      10158.000       100.7869
  117.090       9931.000        99.6544
  117.190      10017.000       100.0850
  117.290      10043.000       100.2148
  117.390      10083.000       100.4141
  117.490      10069.000       100.3444
  117.590       9956.000        99.7798
  117.690       9947.000        99.7346
  117.790       9943.000        99.7146
  117.890       9837.000        99.1816
  117.990       9950.000        99.7497
  118.090       9882.000        99.4082
  118.190       9915.000        99.5741
  118.290       9726.000        98.6205
  118.390       9804.000        99.0152
  118.490       9859.000        99.2925
  118.590       9780.000        98.8939
  118.690       9910.000        99.5490
  118.790       9823.000        99.1110
  118.890      10073.000       100.3643
  118.990       9992.000        99.9600
  119.090       9811.000        99.0505
  119.190       9777.000        98.8787
  119.290      10060.000       100.2996
  119.390       9956.000        99.7798
  119.490      10026.000       100.1299
  119.590       9751.000        98.7472
  119.690       9715.000        98.5647
  119.790       9962.000        99.8098
  119.890      10026.000       100.1299
  119.990       9901.000        99.5038
  120.090       9927.000        99.6343
  120.190      10003.000       100.0150
  120.290       9877.000        99.3831
  120.390      10010.000       100.0500
  120.490       9907.000        99.5339
  120.590      10044.000       100.2198
  120.690      10197.000       100.9802
  120.790      10071.000       100.3544
  120.890      10310.000       101.5382
  120.990      10322.000       101.5972
  121.090      10035.000       100.1749
  121.190      10173.000       100.8613
  121.290      10090.000       100.4490
  121.390      10207.000       101.0297
  121.490      10540.000       102.6645
  121.590      10152.000       100.7571
  121.690      10445.000       102.2008
  121.790      10387.000       101.9166
  121.890      10421.000       102.0833
  121.990      10546.000       102.6937
  122.090      10426.000       102.1078
  122.190      10405.000       102.0049
  122.290      10542.000       102.6742
  122.390      10464.000       102.2937
  122.490      10316.000       101.5677
  122.590      10445.000       102.2008
  122.690      10285.000       101.4150
  122.790      10466.000       102.3035
  122.890      10328.000       101.6268
  122.990      10248.000       101.2324
  123.090      10299.000       101.4840
  123.190      10089.000       100.4440
  123.290      10109.000       100.5435
  123.390      10097.000       100.4838
  123.490      10068.000       100.3394
  123.590      10024.000       100.1199
  123.690      10050.000       100.2497
  123.790      10132.000       100.6578
  123.890      10164.000       100.8167
  123.990       9858.000        99.2875
  124.090      10021.000       100.1049
  124.190      10016.000       100.0800
  124.290      10060.000       100.2996
  124.390      10169.000       100.8415
  124.490      10044.000       100.2198
  124.590      10066.000       100.3295
  124.690      10232.000       101.1534
  124.790      10085.000       100.4241
  124.890      10195.000       100.9703
  124.990      10174.000       100.8662
  125.090      10183.000       100.9109
  125.190      10181.000       100.9009
  125.290      10168.000       100.8365
  125.390      10398.000       101.9706
  125.490      10317.000       101.5726
  125.590      10327.000       101.6218
  125.690      10200.000       100.9950
  125.790      10254.000       101.2620
  125.890      10113.000       100.5634
  125.990      10157.000       100.7819
  126.090      10060.000       100.2996
  126.190      10008.000       100.0400
  126.290      10089.000       100.4440
  126.390       9962.000        99.8098
  126.490       9917.000        99.5841
  126.590      10014.000       100.0700
  126.690      10072.000       100.3594
  126.790       9969.000        99.8449
  126.890       9684.000        98.4073
  126.990       9869.000        99.3428
  127.090       9825.000        99.1211
  127.190       9848.000        99.2371
  127.290       9512.000        97.5295
  127.390       9852.000        99.2572
  127.490       9639.000        98.1784
  127.590       9718.000        98.5799
  127.690       9615.000        98.0561
  127.790       9543.000        97.6883
  127.890       9678.000        98.3768
  127.990       9422.000        97.0670
  128.090       9645.000        98.2090
  128.190       9485.000        97.3910
  128.290       9729.000        98.6357
  128.390       9575.000        97.8519
  128.490       9675.000        98.3616
  128.590          2.000         1.4142
  128.690          4.000         2.0000
