! d1b Date 17-Nov-11 Time 14:07:33 Run 130589 > 130592
! orf   brah  La2CoMnO6_300K  
!
! Created: Thu Nov 17 15:41:15 2011
! fullprof : INSTR=10
! Wave lenght 
! 2.520
! Monitor/counts   Counting time/sec 
!        5387923.   3600000.0
! Temperature: Sample, Regulation, Requested 
!            298.931     300.008     300.000
!  angle  counts   sigma (F9.3,F15.3,F9.2)
   20.790      10804.000       103.9423
   20.890      10863.000       104.2257
   20.990      10843.000       104.1297
   21.090      10818.000       104.0096
   21.190      10792.000       103.8846
   21.290      10862.000       104.2209
   21.390      10859.000       104.2065
   21.490      11082.000       105.2711
   21.590      11117.000       105.4372
   21.690      11038.000       105.0619
   21.790      10761.000       103.7352
   21.890      10655.000       103.2231
   21.990      10914.000       104.4701
   22.090      10744.000       103.6533
   22.190      10866.000       104.2401
   22.290      10962.000       104.6996
   22.390      10680.000       103.3441
   22.490      10989.000       104.8284
   22.590      10744.000       103.6533
   22.690      10899.000       104.3983
   22.790      10870.000       104.2593
   22.890      10663.000       103.2618
   22.990      10902.000       104.4126
   23.090      10770.000       103.7786
   23.190      10990.000       104.8332
   23.290      10840.000       104.1153
   23.390      10904.000       104.4222
   23.490      10613.000       103.0194
   23.590      10962.000       104.6996
   23.690      10743.000       103.6484
   23.790      10856.000       104.1921
   23.890      10804.000       103.9423
   23.990      10867.000       104.2449
   24.090      10631.000       103.1067
   24.190      10825.000       104.0433
   24.290      10970.000       104.7378
   24.390      10826.000       104.0481
   24.490      10754.000       103.7015
   24.590      11003.000       104.8952
   24.690      10837.000       104.1009
   24.790      10996.000       104.8618
   24.890      11151.000       105.5983
   24.990      11139.000       105.5415
   25.090      10750.000       103.6822
   25.190      10909.000       104.4462
   25.290      10874.000       104.2785
   25.390      11020.000       104.9762
   25.490      11003.000       104.8952
   25.590      10996.000       104.8618
   25.690      11183.000       105.7497
   25.790      11247.000       106.0519
   25.890      10941.000       104.5992
   25.990      10974.000       104.7569
   26.090      10901.000       104.4079
   26.190      10918.000       104.4892
   26.290      10871.000       104.2641
   26.390      10901.000       104.4079
   26.490      11163.000       105.6551
   26.590      11086.000       105.2901
   26.690      10827.000       104.0529
   26.790      11063.000       105.1808
   26.890      10950.000       104.6423
   26.990      11069.000       105.2093
   27.090      10948.000       104.6327
   27.190      10922.000       104.5084
   27.290      11007.000       104.9143
   27.390      10944.000       104.6136
   27.490      10976.000       104.7664
   27.590      10888.000       104.3456
   27.690      11004.000       104.9000
   27.790      10868.000       104.2497
   27.890      11130.000       105.4988
   27.990      10994.000       104.8523
   28.090      10903.000       104.4174
   28.190      10939.000       104.5897
   28.290      11013.000       104.9428
   28.390      11116.000       105.4324
   28.490      10965.000       104.7139
   28.590      10823.000       104.0336
   28.690      10978.000       104.7760
   28.790      11171.000       105.6930
   28.890      11064.000       105.1855
   28.990      11173.000       105.7024
   29.090      11140.000       105.5462
   29.190      11107.000       105.3898
   29.290      11033.000       105.0381
   29.390      11200.000       105.8301
   29.490      11117.000       105.4372
   29.590      11097.000       105.3423
   29.690      11204.000       105.8489
   29.790      10965.000       104.7139
   29.890      11051.000       105.1237
   29.990      11111.000       105.4087
   30.090      11198.000       105.8206
   30.190      11130.000       105.4988
   30.290      10976.000       104.7664
   30.390      11163.000       105.6551
   30.490      11337.000       106.4753
   30.590      11195.000       105.8064
   30.690      11228.000       105.9623
   30.790      11043.000       105.0857
   30.890      11415.000       106.8410
   30.990      11678.000       108.0648
   31.090      11935.000       109.2474
   31.190      12185.000       110.3857
   31.290      11739.000       108.3467
   31.390      11530.000       107.3778
   31.490      11413.000       106.8316
   31.590      11215.000       105.9009
   31.690      11309.000       106.3438
   31.790      11205.000       105.8537
   31.890      11300.000       106.3015
   31.990      11459.000       107.0467
   32.090      11353.000       106.5505
   32.190      11297.000       106.2873
   32.290      12095.000       109.9773
   32.390      13450.000       115.9741
   32.490      15182.000       123.2153
   32.590      16147.000       127.0708
   32.690      15482.000       124.4267
   32.790      13965.000       118.1736
   32.890      12353.000       111.1441
   32.990      11606.000       107.7311
   33.090      11325.000       106.4190
   33.190      11471.000       107.1028
   33.290      11260.000       106.1131
   33.390      11157.000       105.6267
   33.490      11372.000       106.6396
   33.590      11304.000       106.3203
   33.690      11292.000       106.2638
   33.790      11330.000       106.4425
   33.890      11213.000       105.8915
   33.990      11252.000       106.0754
   34.090      11273.000       106.1744
   34.190      11104.000       105.3755
   34.290      11332.000       106.4519
   34.390      11362.000       106.5927
   34.490      11388.000       106.7146
   34.590      11245.000       106.0424
   34.690      11252.000       106.0754
   34.790      11178.000       105.7261
   34.890      11181.000       105.7402
   34.990      11241.000       106.0236
   35.090      11285.000       106.2309
   35.190      11150.000       105.5936
   35.290      11443.000       106.9720
   35.390      11306.000       106.3297
   35.490      11243.000       106.0330
   35.590      11284.000       106.2262
   35.690      11318.000       106.3861
   35.790      11348.000       106.5270
   35.890      11293.000       106.2685
   35.990      11068.000       105.2046
   36.090      11156.000       105.6220
   36.190      11357.000       106.5692
   36.290      11262.000       106.1226
   36.390      11255.000       106.0896
   36.490      11222.000       105.9339
   36.590      11378.000       106.6677
   36.690      11226.000       105.9528
   36.790      11327.000       106.4284
   36.890      11139.000       105.5415
   36.990      11191.000       105.7875
   37.090      11293.000       106.2685
   37.190      11282.000       106.2168
   37.290      11370.000       106.6302
   37.390      12034.000       109.6996
   37.490      13131.000       114.5906
   37.590      15930.000       126.2141
   37.690      19988.000       141.3789
   37.790      23254.000       152.4926
   37.890      23436.000       153.0882
   37.990      20880.000       144.4991
   38.090      16716.000       129.2904
   38.190      13241.000       115.0695
   38.290      11924.000       109.1971
   38.390      11524.000       107.3499
   38.490      11256.000       106.0943
   38.590      11185.000       105.7592
   38.690      11109.000       105.3992
   38.790      11123.000       105.4656
   38.890      11251.000       106.0707
   38.990      11048.000       105.1095
   39.090      11241.000       106.0236
   39.190      10972.000       104.7473
   39.290      11240.000       106.0189
   39.390      11170.000       105.6882
   39.490      10930.000       104.5466
   39.590      11125.000       105.4751
   39.690      10951.000       104.6470
   39.790      11059.000       105.1618
   39.890      11141.000       105.5509
   39.990      10897.000       104.3887
   40.090      11074.000       105.2331
   40.190      11126.000       105.4799
   40.290      10912.000       104.4605
   40.390      11006.000       104.9095
   40.490      11143.000       105.5604
   40.590      11038.000       105.0619
   40.690      11039.000       105.0666
   40.790      11226.000       105.9528
   40.890      10958.000       104.6805
   40.990      10940.000       104.5945
   41.090      11127.000       105.4846
   41.190      11100.000       105.3565
   41.290      11100.000       105.3565
   41.390      11059.000       105.1618
   41.490      11185.000       105.7592
   41.590      11115.000       105.4277
   41.690      11141.000       105.5509
   41.790      11013.000       104.9428
   41.890      11031.000       105.0286
   41.990      11088.000       105.2996
   42.090      11261.000       106.1179
   42.190      11114.000       105.4230
   42.290      11334.000       106.4613
   42.390      11779.000       108.5311
   42.490      11614.000       107.7683
   42.590      11705.000       108.1897
   42.690      11549.000       107.4663
   42.790      11123.000       105.4656
   42.890      11197.000       105.8159
   42.990      10983.000       104.7998
   43.090      11022.000       104.9857
   43.190      10920.000       104.4988
   43.290      10821.000       104.0240
   43.390      10879.000       104.3024
   43.490      10995.000       104.8570
   43.590      10819.000       104.0144
   43.690      10982.000       104.7950
   43.790      10892.000       104.3647
   43.890      11085.000       105.2853
   43.990      10917.000       104.4845
   44.090      10761.000       103.7352
   44.190      10918.000       104.4892
   44.290      10822.000       104.0288
   44.390      10958.000       104.6805
   44.490      10844.000       104.1345
   44.590      11072.000       105.2236
   44.690      10905.000       104.4270
   44.790      10801.000       103.9279
   44.890      10841.000       104.1201
   44.990      11002.000       104.8904
   45.090      11015.000       104.9524
   45.190      10896.000       104.3839
   45.290      10909.000       104.4462
   45.390      10913.000       104.4653
   45.490      10891.000       104.3600
   45.590      10870.000       104.2593
   45.690      10905.000       104.4270
   45.790      10833.000       104.0817
   45.890      10938.000       104.5849
   45.990      10931.000       104.5514
   46.090      10860.000       104.2113
   46.190      10667.000       103.2812
   46.290      10951.000       104.6470
   46.390      10756.000       103.7111
   46.490      11210.000       105.8773
   46.590      10913.000       104.4653
   46.690      10995.000       104.8570
   46.790      11215.000       105.9009
   46.890      11319.000       106.3908
   46.990      11008.000       104.9190
   47.090      11037.000       105.0571
   47.190      10939.000       104.5897
   47.290      10882.000       104.3168
   47.390      10921.000       104.5036
   47.490      10994.000       104.8523
   47.590      10788.000       103.8653
   47.690      10807.000       103.9567
   47.790      10940.000       104.5945
   47.890      10885.000       104.3312
   47.990      10848.000       104.1537
   48.090      10861.000       104.2161
   48.190      10871.000       104.2641
   48.290      11000.000       104.8809
   48.390      11026.000       105.0048
   48.490      10789.000       103.8701
   48.590      10812.000       103.9808
   48.690      10902.000       104.4126
